ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 9:30:16",0.055066638,0.30885202,10.113108,-1.7492564,0.31183138,0,104.63424,821,34.461,20.224,32.263184,22.277832,30.236,83.254,14717,23.08,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.014435,5.469635,6.5056458,24.289675,30.523561,31.791142,32.093025,6.9855046,32.234615,0.6804352,1,1,0
"2024-07-08, 9:31:17",0.05746084,0.29927522,10.110714,-1.6954491,0.32547522,0,103.98769,818,34.298,20.341,32.04956,22.37854,30.242,83.245,14789,23.19,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6725616,5.071686,6.0383606,22.165163,27.99573,29.132448,29.488405,6.4785466,29.425413,0.6843109,1,1,0
"2024-07-08, 9:32:17",0.055066638,0.30406362,10.110714,-1.72256,0.3119096,0,103.98982,812,33.992,20.483,31.646729,22.529602,30.015,83.249,14655,23.32,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.3812408,4.84317,5.8364563,20.037722,25.508913,26.804811,27.073366,6.3320622,27.02844,0.7045593,1,1,0
"2024-07-08, 9:33:18",0.05746084,0.30166942,10.115502,-1.7081962,0.32531902,0,103.924225,811,33.761,20.598,31.433105,22.64038,29.684,83.253,14800,23.44,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.40242,4.9601135,6.073395,19.888796,25.599733,26.885378,27.142702,6.585358,27.219358,0.7175751,1,1,0
"2024-07-08, 9:34:19",0.059855044,0.30166942,10.117896,-1.7077923,0.33879358,0,104.99429,815,33.627,20.705,31.33545,22.741089,29.488,83.241,14915,23.56,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.9981232,5.757965,7.0416565,23.582644,30.116823,31.650026,31.996218,7.628327,31.91516,0.70602417,1,1,0
"2024-07-08, 9:35:20",0.059855044,0.30645782,10.120291,-1.7344735,0.33870864,0,104.60192,812,33.439,20.782,31.121826,22.88208,29.335,83.245,14905,23.66,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6286774,5.3876038,6.6704407,21.04114,27.155397,28.85657,29.031374,7.2684636,29.225706,0.71624756,1,1,0
"2024-07-08, 9:36:20",0.05267244,0.30885202,10.108319,-1.7500845,0.29841492,0,104.553535,813,33.256,20.881,31.018066,22.922363,29.193,83.237,14915,23.76,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6215973,5.237213,6.422394,21.224733,27.182741,28.652956,28.935183,6.9786687,28.97766,0.69711304,1,1,0
"2024-07-08, 9:37:21",0.05267244,0.30885202,10.113108,-1.7492565,0.29827377,0,103.72096,812,33.154,20.961,30.822754,23.013,29.039,83.245,15011,23.84,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.3407745,4.638092,5.554352,20.049929,25.316042,26.45032,26.661257,5.986359,26.65051,0.6618347,1,1,0
"2024-07-08, 9:38:22",0.050278235,0.30406362,10.113108,-1.7221527,0.28472018,0,104.772705,811,32.972,21.044,30.706787,23.083496,28.926,83.249,15000,23.92,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.0935364,5.449005,6.4197083,25.046022,31.22034,32.422127,32.5315,6.867829,32.57934,0.632843,1,1,0
"2024-07-08, 9:39:23",0.05267244,0.30645782,10.117896,-1.7348837,0.2981349,0,103.83617,808,32.8,21.092,30.505371,23.113708,28.778,83.249,15076,23.99,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.5993805,4.8613586,5.691925,22.109499,27.57239,28.675417,28.757448,6.100617,28.810179,0.64837646,1,1,0
"2024-07-08, 9:40:23",0.050278235,0.30645782,10.117896,-1.7348838,0.28458354,0,103.638336,804,32.708,21.137,30.505371,23.14392,28.613,83.251,15119,24.04,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6499786,4.9830627,5.87796,22.16028,27.8136,29.11194,29.246218,6.336457,29.374632,0.6643982,1,1,0
"2024-07-08, 9:41:24",0.059855044,0.30166942,10.117896,-1.7077923,0.33879358,0,102.873535,801,32.604,21.148,30.407715,23.153992,28.557,83.262,15108,24.07,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.195877,4.4306946,5.2547913,19.352175,24.33948,25.352175,25.507936,5.6848454,25.57092,0.67533875,1,1,0
"2024-07-08, 9:42:25",0.059855044,0.30166942,10.120291,-1.7073885,0.33871347,0,103.70286,799,32.495,21.18,30.407715,23.184204,28.513,83.262,15152,24.11,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.690567,5.3016663,6.4548645,21.970827,27.924929,29.276003,29.538698,6.9700017,29.506468,0.70736694,1,1,0
"2024-07-08, 9:43:25",0.05267244,0.30166942,10.113108,-1.7086004,0.29828015,0,103.28345,799,32.405,21.225,30.407715,23.234558,28.386,83.256,15229,24.13,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.442398,5.0780334,6.2776184,20.095827,25.781862,27.339968,27.600222,6.8425603,27.691526,0.729599,1,1,0
